step_index,E_pdr_m,N_pdr_m,E_rtk_m,N_rtk_m,error_m
0,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.329259,0.564115,-0.395078,0.446742,0.733785
2,0.646836,1.175030,-0.837391,0.915386,1.506766
3,1.028499,1.748883,-1.162755,1.415864,2.216415
4,1.326965,2.366942,-1.592423,1.898429,2.956743
5,1.712391,2.952875,-1.908397,2.377316,3.666247
6,2.040915,3.565898,-2.360070,2.837907,4.460789
7,2.426688,4.116695,-2.739090,3.332727,5.224928
8,2.803891,4.691937,-3.190456,3.817832,6.057743
9,3.155758,5.296004,-3.575132,4.254349,6.811015
10,3.590808,5.826016,-4.090052,4.722841,7.759678
11,4.003575,6.370438,-4.469888,5.169028,8.558210
12,4.424522,6.875418,-4.937536,5.622485,9.445527
13,4.836659,7.404681,-5.318891,6.084482,10.241002
14,5.226608,7.953343,-5.732867,6.529790,11.051543
15,5.692957,8.443574,-6.061123,7.034739,11.838210
16,6.104492,8.976161,-6.478760,7.498856,12.669675
17,6.624133,9.420722,-6.854099,7.981936,13.554809
18,7.026434,9.969551,-7.267556,8.422060,14.377512
19,7.477438,10.466377,-7.643266,8.863797,15.205392
20,7.898994,10.996810,-8.068879,9.280612,16.059836
21,8.293712,11.555747,-8.469199,9.678609,16.867686
22,8.730605,12.081202,-8.965910,10.134869,17.803226
23,9.126023,12.639762,-9.388018,10.609853,18.624991
24,9.587761,13.132680,-9.828826,11.081708,19.524609
25,10.032635,13.652340,-10.205340,11.525814,20.349391
26,10.420311,14.209825,-10.658344,11.981944,21.196064
27,10.891100,14.703316,-11.043638,12.407266,22.054582
28,11.277384,15.255552,-11.515188,12.868594,22.917218
29,11.763236,15.749127,-11.908138,13.315200,23.796175
30,12.156579,16.308338,-12.332533,13.805679,24.616660
31,12.617956,16.809787,-12.680571,14.293742,25.423335
32,13.067346,17.316733,-13.105560,14.868176,26.287191
33,13.519126,17.842523,-13.414764,15.345523,27.049388
34,13.986844,18.335495,-13.787719,15.868098,27.883946
35,14.406060,18.855040,-14.125208,16.380508,28.638376
36,14.888916,19.326235,-14.479697,16.901765,29.468516
37,15.361066,19.860298,-14.832517,17.459296,30.288897
38,15.799918,20.377831,-15.202014,17.912530,31.099798
39,16.251883,20.887250,-15.552018,18.378580,31.902688
40,16.602933,21.472334,-15.931884,18.895149,32.636731
41,17.051205,21.969729,-16.250632,19.402950,33.400609
42,17.392944,22.551834,-16.582676,19.959679,34.074360
43,17.806274,23.095800,-16.913151,20.528323,34.814227
44,18.214589,23.651741,-17.280818,21.033998,35.591804
45,18.575056,24.233595,-17.640174,21.539068,36.315333
46,18.971516,24.791963,-18.087185,22.009343,37.163023
47,19.341075,25.386755,-18.446876,22.478191,37.899722
48,19.830735,25.891641,-18.915898,22.942888,38.858677
49,20.248363,26.462651,-19.320482,23.422156,39.685490
50,20.632276,27.038727,-19.773007,23.861540,40.530007
51,21.053686,27.571475,-20.143106,24.351220,41.322460
52,21.431775,28.141379,-20.606197,24.817320,42.169189
53,21.921556,28.634968,-20.981329,25.280405,43.033831
54,22.317247,29.220712,-21.435989,25.725804,43.892597
55,22.789863,29.739178,-21.889992,26.198034,44.819963
56,23.242872,30.280565,-22.385097,26.665579,45.770948
57,23.679107,30.831772,-22.808013,27.072775,46.638851
58,24.164129,31.359044,-23.339854,27.480764,47.662033
59,24.598345,31.887837,-23.798542,27.885023,48.562138
60,25.063498,32.388374,-24.315833,28.266411,49.551074
61,25.559744,32.876531,-24.742433,28.687872,50.476270
62,26.043129,33.392049,-25.272694,29.095066,51.495414
63,26.548748,33.851171,-25.742067,29.522276,52.469693
64,27.014252,34.365390,-26.248024,29.905201,53.448697
65,27.558996,34.809652,-26.736556,30.283836,54.483850
66,28.034822,35.322701,-27.268912,30.635743,55.501987
67,28.550347,35.752097,-27.743859,30.967607,56.497159
68,29.075055,36.188905,-28.321943,31.304250,57.604472
69,29.607597,36.620659,-28.856609,31.661909,58.674122
70,30.201572,36.982431,-29.444888,32.029433,59.851753
71,30.765173,37.397214,-29.934370,32.358339,60.908331
72,31.335639,37.756343,-30.504032,32.692105,62.046688
73,31.927823,38.107351,-31.022355,33.024376,63.155059
74,32.524884,38.469182,-31.578448,33.352858,64.307184
75,33.155434,38.738438,-32.129574,33.667823,65.481627
76,33.754049,39.073218,-32.714271,33.964297,66.664373
77,34.389364,39.284172,-33.241162,34.245590,67.817958
78,35.010328,39.567432,-33.832400,34.507539,69.028428
79,35.648037,39.820344,-34.379376,34.784778,70.208229
80,36.289092,40.038905,-34.979562,35.079637,71.440992
81,36.923329,40.274598,-35.502996,35.319305,72.595644
82,37.583810,40.440163,-36.109181,35.585589,73.852717
83,38.223760,40.639423,-36.649264,35.863721,75.025176
84,38.873787,40.783404,-37.254810,36.117581,76.271444
85,39.532257,40.915123,-37.803209,36.342188,77.470550
86,40.183032,41.082633,-38.427999,36.568166,78.740553
87,40.852497,41.183174,-38.980296,36.787708,79.953705
88,41.512351,41.335736,-39.584433,36.969751,81.214225
89,42.181785,41.406385,-40.165277,37.164958,82.456221
90,42.850973,41.556172,-40.813214,37.353530,83.769675
91,43.537216,41.632108,-41.435079,37.546489,85.070461
92,44.235022,41.730137,-42.067109,37.718630,86.395312
93,44.930940,41.811767,-42.641634,37.884512,87.660591
94,45.623796,41.876809,-43.296202,38.034398,89.002978
95,46.313623,41.954576,-43.866856,38.167136,90.259978
96,47.016140,42.014385,-44.520970,38.262363,91.613974
97,47.717769,42.066773,-45.112569,38.409988,92.902334
98,48.394814,42.098421,-45.771338,38.487648,94.235354
99,49.070199,42.029575,-46.419187,38.618337,95.550298
100,49.753034,41.998245,-47.040325,38.681421,96.850171
101,50.433296,41.895977,-47.645475,38.808321,98.127361
102,51.114648,41.878843,-48.317961,38.882735,99.477738
103,51.778919,41.806817,-48.960330,38.927372,100.780393
104,52.447222,41.713437,-49.583951,38.969984,102.068049
105,53.117104,41.638034,-50.189839,39.005795,103.340472
106,53.810053,41.535627,-50.861075,38.988896,104.702105
107,54.501803,41.405369,-51.461471,39.035324,105.989775
108,55.186235,41.279591,-52.123098,39.075363,107.331969
109,55.861027,41.097472,-52.773111,39.162575,108.651368
110,56.540079,40.940294,-53.426502,39.136199,109.981378
111,57.194386,40.702981,-54.041564,39.148027,111.246818
112,57.879943,40.544840,-54.717509,39.086326,112.606897
113,58.549280,40.329357,-55.355045,39.097229,113.910989
114,59.234175,40.146638,-55.981315,39.046059,115.220746
115,59.893494,39.917781,-56.581338,39.020926,116.478285
116,60.544009,39.695177,-57.270294,38.953189,117.816640
117,61.192990,39.454150,-57.895733,38.945874,119.089808
118,61.828990,39.202111,-58.552599,38.899887,120.381969
119,62.484479,38.955266,-59.128541,38.856190,121.613060
120,63.116961,38.701230,-59.808592,38.717457,122.925554
121,63.756211,38.409147,-60.450978,38.629118,124.207384
122,64.393272,38.135747,-61.112678,38.508083,125.506503
123,65.020909,37.828303,-61.732473,38.427203,126.754797
124,65.665245,37.542366,-62.425206,38.321818,128.092823
125,66.266788,37.189786,-63.036260,38.254107,129.307428
126,66.886782,36.864726,-63.701542,38.093347,130.594104
127,67.493133,36.517064,-64.314025,37.993567,131.815428
128,68.093387,36.175365,-64.954559,37.854584,133.058542
129,68.683108,35.824679,-65.573544,37.718939,134.270014
130,69.266025,35.459295,-66.227241,37.517244,135.508894
131,69.848831,35.084230,-66.839052,37.376282,136.707099
132,70.418856,34.674090,-67.492951,37.147827,137.933991
133,70.987737,34.254591,-68.118623,36.988895,139.133231
134,71.575802,33.837101,-68.730744,36.743359,140.336643
135,72.150584,33.433484,-69.343231,36.527843,141.527647
136,72.749721,33.065791,-69.957371,36.234793,142.742274
137,73.291112,32.650528,-70.535212,36.007840,143.865503
138,73.858137,32.269999,-71.172365,35.714806,145.071407
139,74.386729,31.848626,-71.734633,35.474551,146.166342
140,74.936920,31.426614,-72.355778,35.171309,147.340292
141,75.453825,30.972993,-72.942985,34.906185,148.448925
142,75.991902,30.522265,-73.538799,34.598530,149.586251
143,76.533918,30.069245,-74.102578,34.319481,150.696444
144,77.060343,29.626487,-74.707871,33.974754,151.830492
145,77.579828,29.161199,-75.278508,33.719863,152.926297
146,78.095453,28.693852,-75.865149,33.383001,154.031994
147,78.596357,28.207437,-76.437962,33.087877,155.111118
148,79.082908,27.720175,-77.076106,32.770367,156.240655
149,79.539601,27.202346,-77.645328,32.479183,157.273478
150,80.029672,26.720894,-78.213512,32.173902,158.337111
151,80.498961,26.222052,-78.756738,31.878819,159.356131
152,80.970495,25.745845,-79.325813,31.524664,160.400440
